location,population,percent_single_dose,percent_fully_vaccinated
Gibraltar,32670,128.784817875727,126.78604224058769
United Arab Emirates,9365144,106.68377336216079,104.56076276029498
Qatar,2688235,102.48884491125219,102.48884491125219
Pitcairn,47,100,100
Brunei,445373,100.10687670783815,97.901534219631642
Singapore,5453600,92.110312454158716,91.712813554349424
Samoa,218764,104.81203488691008,90.9180669580004
Chile,19493184,92.5922260827169,90.534055390848408
Malta,526748,90.668403107368235,89.317662335689931
China,1425893464,91.268529722358,88.9466872540486
Cuba,11256372,94.987114853702408,88.6917916358841
Cayman Islands,68136,90.417694023717274,88.142831983092634
Hong Kong,7494578,90.510806612460371,87.280644754114249
Cambodia,16589023,91.26193266475066,87.182946216905
Bhutan,777486,89.39492158058151,86.696737947692952
Portugal,10290103,94.698216334666427,86.538657581950346
Macao,686607,90.4565493797762,86.481495236722026
Cook Islands,17003,88.413809327765691,86.367111686173033
South Korea,51830139,87.011748125931135,86.168487798190156
Spain,47486935,86.942755939080925,85.54757008427687
Uruguay,3426260,87.5570447076404,84.390618341865476
Vietnam,97468028,90.7308763854338,84.1345820600782
Australia,25921089,86.475872985120333,83.914746020122848
Taiwan,23859912,89.723226975858083,83.907476272334961
Bahrain,1463265,84.734685788288516,83.712314584166236
Argentina,45276780,91.077020053104491,83.308691563313459
Peru,33715472,88.19252775105744,83.0184996371992
Canada,38155012,86.2636945311405,82.60875137452453
Nicaragua,6850540,88.000683157824056,82.57727128080414
Japan,124612530,83.476454574832886,82.330968643361942
Malaysia,33573874,83.655386328071643,81.859394599503176
Denmark,5854240,82.37026497034627,81.763320260187484
Guernsey,63065,85.857448664076742,81.425513359232539
Costa Rica,5153957,86.576333485126085,81.278889210755935
Ireland,4986526,82.109488650014057,81.18595992480536
Italy,59240330,85.794336392116648,80.958394391118347
New Zealand,5129728,83.7476178074159,80.502260548707454
Tuvalu,11204,84.362727597286678,80.462334880399851
Brazil,214326223,86.8360004645815,79.924323585919765
Isle of Man,84263,82.551060370506619,79.638750103841545
Ecuador,17797737,85.515259608567078,79.017506551535178
Belgium,11611420,79.690649377939991,78.856410327074556
France,67422000,80.889906855329116,78.640661801785768
Finland,5535992,81.66176901989742,78.401594510974732
Kuwait,4250114,80.968863423428175,78.39422660192173
Iceland,370335,83.645888182321414,78.359593341164086
Aruba,106536,84.135878951715853,78.255237666141014
Rwanda,13461888,81.2675161166101,77.91450946553708
Faeroe Islands,52888,78.874224776887,77.323778550900016
Austria,8922082,77.134585851149993,76.440532602143762
Seychelles,106470,80.143702451394759,76.2026862026862
Germany,83408554,77.629377197931035,76.032029041050151
Mauritius,1298915,78.675971868828981,75.272669882170888
United Kingdom,67281040,79.886736293018075,75.2078787723852
Norway,5403021,80.399613475498242,74.975981029872
Thailand,71601103,79.480074489913932,74.463168535266831
Bermuda,64185,75.646958011996574,74.249435226298971
Jersey,109618,76.515718221459977,74.093670747504973
Maldives,521458,76.5258179949296,73.798273302931392
Sweden,10467097,74.94206846463733,73.1926340225948
Niue,1937,85.1832731027362,73.154362416107389
Greece,10445365,75.868789649763315,73.091509966382219
Luxembourg,639321,75.326635602459476,72.396026409268586
Tonga,106017,82.103813539338034,72.216719960006415
Panama,4351267,80.319525324462973,72.108790382203622
Cyprus,896007,74.6933896721789,72.04140146226537
Bangladesh,169356251,76.889307735089147,71.438266545000445
Colombia,51516562,82.640011963531251,70.651917726963219
Laos,7425058,79.307784531784137,70.335033073142327
San Marino,33746,78.104071593670369,70.032003793042136
Monaco,36686,78.708499154991,69.964018971814852
Saudi Arabia,35950396,74.307726679839632,69.768722436325874
Latvia,1873919,71.837896942183733,69.692233228864225
Nepal,30034989,84.632276709007613,69.505851991489
Switzerland,8691406,70.101638331013419,69.127388595124884
Fiji,924610,76.624739079179321,68.880825429099829
Nauru,12512,83.863491048593346,68.614130434782609
El Salvador,6314167,73.327756456235633,68.586133372779017
Greenland,56243,73.330014401792226,68.456519033479722
Netherlands,17501696,73.065147514846558,68.386115265629115
Liechtenstein,39039,68.531468531468533,67.724583109198491
Andorra,79034,73.24442644937622,67.641774426196321
Lithuania,2786651,70.125143048053019,67.385618077039439
Oman,4520471,72.365092044612169,67.354950402292147
Turks and Caicos Islands,45114,71.680631289621843,67.136587312142566
Sri Lanka,21773441,78.57080559751671,66.8804852664308
India,1407563842,72.707694774671538,66.704744039595752
Antigua and Barbuda,93220,68.752413645140535,66.542587427590647
Belarus,9578168,67.5853983768086,66.516801542842
United States,336997624,77.841449707075682,66.3758374153997
Israel,9291000,72.287504036164023,66.2037778495318
Iran,87923432,73.584974480977948,66.032618017003713
