location,date,total_cases,total_deaths,DeathPercentage
Africa,2020-02-13,,,
Africa,2020-02-14,1,,
Africa,2020-02-15,1,,
Africa,2020-02-16,1,,
Africa,2020-02-17,1,,
Africa,2020-02-18,1,,
Africa,2020-02-19,1,,
Africa,2020-02-20,1,,
Africa,2020-02-21,1,,
Africa,2020-02-22,1,,
Africa,2020-02-23,1,,
Africa,2020-02-24,1,,
Africa,2020-02-25,2,,
Africa,2020-02-26,2,,
Africa,2020-02-27,2,,
Africa,2020-02-28,3,,
Africa,2020-02-29,3,,
Africa,2020-03-01,4,,
Africa,2020-03-02,8,,
Africa,2020-03-03,11,,
Africa,2020-03-04,21,,
Africa,2020-03-05,24,,
Africa,2020-03-06,43,,
Africa,2020-03-07,43,,
Africa,2020-03-08,83,1,1.2048192771084338
Africa,2020-03-09,91,1,1.098901098901099
Africa,2020-03-10,104,2,1.9230769230769231
Africa,2020-03-11,118,2,1.6949152542372881
Africa,2020-03-12,134,3,2.2388059701492535
Africa,2020-03-13,176,6,3.4090909090909087
Africa,2020-03-14,252,7,2.7777777777777777
Africa,2020-03-15,317,8,2.5236593059936907
Africa,2020-03-16,404,8,1.9801980198019802
Africa,2020-03-17,492,11,2.2357723577235773
Africa,2020-03-18,610,17,2.7868852459016393
Africa,2020-03-19,788,20,2.5380710659898478
Africa,2020-03-20,970,26,2.6804123711340204
Africa,2020-03-21,1170,35,2.9914529914529915
Africa,2020-03-22,1423,46,3.2326071679550248
Africa,2020-03-23,1806,55,3.0454042081949058
Africa,2020-03-24,2244,62,2.7629233511586455
Africa,2020-03-25,2767,73,2.6382363570654137
Africa,2020-03-26,3293,91,2.763437594898269
Africa,2020-03-27,3873,115,2.9692744642396072
Africa,2020-03-28,4216,134,3.1783681214421251
Africa,2020-03-29,4780,151,3.1589958158995817
Africa,2020-03-30,5175,172,3.3236714975845412
Africa,2020-03-31,5761,198,3.4369033153966324
Africa,2020-04-01,6360,233,3.6635220125786163
Africa,2020-04-02,7016,285,4.0621436716077532
Africa,2020-04-03,7897,331,4.1914651133341776
Africa,2020-04-04,8579,382,4.4527334188133816
Africa,2020-04-05,9264,442,4.7711571675302249
Africa,2020-04-06,9980,487,4.8797595190380756
Africa,2020-04-07,10608,533,5.0245098039215685
Africa,2020-04-08,11414,573,5.0201506921324688
Africa,2020-04-09,12207,627,5.1363971491767018
Africa,2020-04-10,12901,690,5.348422602899
Africa,2020-04-11,13615,742,5.4498714652956295
Africa,2020-04-12,14484,788,5.44048605357636
Africa,2020-04-13,15256,833,5.4601468274777138
Africa,2020-04-14,16227,873,5.3799223516361616
Africa,2020-04-15,17192,910,5.2931596091205213
Africa,2020-04-16,18360,965,5.25599128540305
Africa,2020-04-17,19763,1015,5.1358599402924661
Africa,2020-04-18,21071,1058,5.0211190736082765
Africa,2020-04-19,22268,1120,5.0296389437758213
Africa,2020-04-20,23431,1159,4.946438478938159
Africa,2020-04-21,24507,1189,4.8516750316236177
Africa,2020-04-22,25910,1240,4.7857969895793131
Africa,2020-04-23,27347,1297,4.7427505759315469
Africa,2020-04-24,29052,1324,4.557345449538758
Africa,2020-04-25,30296,1372,4.5286506469500925
Africa,2020-04-26,31828,1422,4.467764232751037
Africa,2020-04-27,33165,1461,4.4052464947987335
Africa,2020-04-28,34784,1522,4.37557497700092
Africa,2020-04-29,36807,1588,4.3143967180155949
Africa,2020-04-30,38753,1634,4.2164477588831826
Africa,2020-05-01,40468,1690,4.1761391716912133
Africa,2020-05-02,42705,1759,4.1189556258049409
Africa,2020-05-03,44297,1796,4.0544506399981941
Africa,2020-05-04,46951,1842,3.9232391216374523
Africa,2020-05-05,48993,1906,3.8903516828934745
Africa,2020-05-06,51535,2006,3.8925002425536044
Africa,2020-05-07,54022,2073,3.8373255340416872
Africa,2020-05-08,57647,2154,3.7365344250351278
Africa,2020-05-09,60507,2221,3.6706496768968879
Africa,2020-05-10,63086,2290,3.629965443997083
Africa,2020-05-11,66145,2344,3.5437296847834303
Africa,2020-05-12,69312,2395,3.4553901200369346
Africa,2020-05-13,72226,2493,3.4516656051837291
Africa,2020-05-14,75344,2562,3.4004034826927163
Africa,2020-05-15,78270,2624,3.3524977641497382
Africa,2020-05-16,81273,2708,3.3319798703136345
Africa,2020-05-17,84587,2758,3.2605483112062137
Africa,2020-05-18,88255,2831,3.2077502691065662
Africa,2020-05-19,91266,2906,3.184099226437008
Africa,2020-05-20,95057,2990,3.1454811323732077
Africa,2020-05-21,99752,3095,3.1026946828133775
Africa,2020-05-22,103620,3183,3.0718008106543135
Africa,2020-05-23,107485,3255,3.0283295343536309
Africa,2020-05-24,111605,3354,3.0052417006406524
Africa,2020-05-25,115733,3479,3.0060570450951762
Africa,2020-05-26,119444,3591,3.0064297913666658
Africa,2020-05-27,124524,3698,2.9697086505412611
Africa,2020-05-28,129440,3791,2.9287700865265762
Africa,2020-05-29,135186,3922,2.9011879928394952
Africa,2020-05-30,141304,4069,2.8796070882636018
